Date,Subscription status,Views,source
2025-08-16,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-17,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-18,Not subscribed,3,Subscription Status_Ai-talks-CA
2025-08-19,Not subscribed,24,Subscription Status_Ai-talks-CA
2025-08-20,Not subscribed,5,Subscription Status_Ai-talks-CA
2025-08-21,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-08-22,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-23,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-24,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-08-25,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-26,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-08-27,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-28,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-29,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-08-30,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-31,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-01,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-02,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-09-03,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-09-04,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-05,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-06,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-07,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-08,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-09,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-10,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-11,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-12,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-13,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-14,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-15,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-16,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-17,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-18,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-19,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-09-20,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-21,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-22,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-09-23,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-09-24,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-25,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-09-26,Not subscribed,0,Subscription Status_Ai-talks-CA
